1000 47978
123 136 38
123 148 23
123 211 32
123 218 32
123 230 28
123 249 38
123 263 30
123 264 44
123 272 12
123 281 28
123 291 21
123 297 50
123 299 45
123 309 -2
123 355 15
123 357 23
123 375 33
123 376 15
123 392 49
123 398 39
123 400 48
123 413 9
123 464 35
123 514 9
123 528 41
123 586 39
123 597 15
123 626 35
123 656 26
123 698 18
123 706 23
123 709 -1
123 758 42
123 779 45
123 786 40
123 795 1
123 814 29
123 816 24
123 830 19
123 873 3
123 875 49
123 897 21
123 929 4
123 952 19
123 955 2
124 50 37
124 76 49
124 84 20
124 96 22
124 108 29
124 120 20
124 142 20
124 147 12
124 158 19
124 184 36
124 210 24
124 233 43
124 235 45
124 237 13
124 261 0
124 262 37
124 284 19
124 298 4
124 344 47
124 420 44
124 427 21
124 441 29
124 455 40
124 459 -1
124 467 27
124 514 8
124 520 4
124 534 -1
124 568 41
124 603 13
124 644 12
124 661 37
124 678 29
124 679 13
124 703 23
124 709 43
124 747 13
124 764 25
124 843 28
124 871 3
124 904 6
124 939 46
125 6 32
125 9 -1
125 12 19
125 19 43
125 29 11
125 40 29
125 91 44
125 94 12
125 105 40
125 115 25
125 142 24
125 159 37
125 193 44
125 206 18
125 230 15
125 364 42
125 376 25
125 389 2
125 407 50
125 430 19
125 447 -2
125 485 28
125 490 41
125 529 13
125 546 46
125 556 14
125 590 2
125 617 0
125 641 16
125 683 48
125 706 5
125 713 31
125 731 25
125 739 37
125 768 7
125 779 13
125 783 26
125 792 17
125 794 20
125 800 0
125 855 5
125 867 29
125 882 27
125 917 4
125 921 23
125 960 7
125 964 -2
125 988 21
125 989 15
126 6 24
126 25 25
126 93 10
126 96 11
126 102 15
126 115 42
126 216 3
126 217 40
126 230 15
126 263 15
126 293 3
126 328 9
126 365 34
126 377 40
126 389 49
126 407 20
126 417 47
126 426 21
126 435 24
126 441 33
126 516 47
126 530 13
126 580 44
126 590 35
126 596 36
126 610 24
126 612 39
126 647 8
126 651 21
126 675 13
126 723 17
126 732 31
126 746 11
126 758 8
126 782 20
126 793 34
126 794 15
126 805 -2
126 806 1
126 815 43
126 828 41
126 832 35
126 854 5
126 872 16
126 874 9
126 886 43
126 903 23
126 945 10
126 955 38
126 960 42
126 962 45
127 4 40
127 16 46
127 19 41
127 24 43
127 34 21
127 40 43
127 42 12
127 47 47
127 69 45
127 77 41
127 90 13
127 97 31
127 108 18
127 119 -2
127 123 39
127 136 24
127 138 0
127 162 2
127 169 10
127 211 20
127 285 39
127 293 36
127 298 50
127 325 25
127 381 38
127 409 7
127 426 49
127 432 39
127 438 9
127 481 50
127 496 3
127 513 25
127 567 45
127 599 43
127 611 23
127 630 43
127 639 8
127 660 38
127 690 19
127 698 28
127 709 25
127 716 13
127 725 35
127 737 3
127 744 31
127 751 39
127 753 18
127 759 43
127 763 7
127 766 25
127 786 32
127 807 16
127 809 1
127 812 43
127 814 11
127 826 49
127 860 41
127 919 48
127 928 22
127 930 18
127 938 16
127 943 47
127 968 4
127 979 38
128 77 9
128 85 30
128 89 27
128 90 28
128 113 32
128 139 34
128 144 -1
128 155 17
128 167 31
128 177 43
128 255 39
128 261 5
128 269 38
128 315 38
128 373 25
128 376 8
128 382 9
128 389 -1
128 390 43
128 398 48
128 400 44
128 410 41
128 414 -1
128 432 33
128 441 5
128 453 -2
128 466 33
128 538 22
128 544 36
128 550 8
128 563 7
128 588 43
128 609 -1
128 611 3
128 614 35
128 648 26
128 660 9
128 662 10
128 669 9
128 714 27
128 765 4
128 859 22
128 884 14
128 899 7
128 900 40
128 917 7
128 931 14
128 965 34
128 982 9
128 1000 22
129 28 10
129 38 17
129 43 45
129 92 8
129 123 8
129 156 28
129 183 11
129 184 16
129 193 13
129 273 31
129 296 48
129 340 6
129 352 32
129 364 35
129 374 14
129 391 39
129 400 19
129 409 38
129 423 32
129 441 19
129 454 43
129 492 25
129 497 35
129 535 14
129 556 24
129 559 22
129 585 50
129 647 13
129 708 22
129 729 36
129 739 4
129 777 36
129 781 23
129 782 8
129 785 12
129 793 22
129 810 17
129 816 47
129 828 0
129 833 -2
129 851 42
129 863 41
129 886 17
129 898 5
129 915 21
129 916 37
129 945 31
129 956 6
129 980 12
129 984 48
130 14 16
130 50 27
130 53 36
130 71 22
130 119 31
130 143 43
130 147 7
130 160 28
130 191 37
130 200 23
130 216 18
130 231 37
130 233 46
130 246 6
130 259 5
130 269 22
130 279 38
130 315 35
130 336 7
130 347 35
130 351 41
130 376 4
130 406 45
130 451 4
130 455 35
130 463 16
130 468 6
130 499 36
130 507 7
130 511 46
130 529 32
130 549 17
130 561 35
130 586 11
130 591 46
130 609 39
130 646 21
130 663 2
130 765 6
130 809 7
130 826 32
130 888 1
130 892 31
130 918 41
130 939 35
130 958 6
130 961 8
130 963 35
130 988 43
130 991 -2
131 5 47
131 38 42
131 49 33
131 52 31
131 57 20
131 159 24
131 194 25
131 203 41
131 241 36
131 258 15
131 263 25
131 265 11
131 294 0
131 315 11
131 322 33
131 335 49
131 351 8
131 400 18
131 417 7
131 455 17
131 459 3
131 460 16
131 477 46
131 480 11
131 554 28
131 589 23
131 593 17
131 605 11
131 636 21
131 642 7
131 690 48
131 708 24
131 724 38
131 726 36
131 731 44
131 737 39
131 757 42
131 813 39
131 814 48
131 828 10
131 834 47
131 864 49
131 870 2
131 872 40
131 873 27
131 890 43
131 901 48
131 935 21
131 948 22
131 952 32
131 996 23
132 9 31
132 11 30
132 18 27
132 48 28
132 93 10
132 95 15
132 113 4
132 143 34
132 182 36
132 209 11
132 214 38
132 269 17
132 274 50
132 305 45
132 310 21
132 312 43
132 314 17
132 327 3
132 337 44
132 354 27
132 376 14
132 394 26
132 399 38
132 405 43
132 409 40
132 416 32
132 443 28
132 573 49
132 582 32
132 612 9
132 637 19
132 685 41
132 743 49
132 755 5
132 769 15
132 788 13
132 801 24
132 815 33
132 837 23
132 856 21
132 866 15
132 884 2
132 887 26
132 890 28
132 934 -1
132 942 46
132 956 27
133 4 38
133 11 29
133 50 18
133 78 16
133 94 24
133 99 43
133 102 23
133 140 31
133 167 49
133 178 40
133 196 27
133 207 5
133 234 47
133 249 -2
133 275 26
133 289 23
133 329 46
133 330 29
133 361 47
133 403 31
133 473 43
133 487 -1
133 499 38
133 505 45
133 514 11
133 521 1
133 549 5
133 560 47
133 619 2
133 627 37
133 637 2
133 658 46
133 661 16
133 670 15
133 678 26
133 681 24
133 691 28
133 693 50
133 700 23
133 705 27
133 718 41
133 748 40
133 775 -2
133 780 9
133 812 48
133 814 36
133 843 30
133 858 12
133 870 27
133 873 38
133 911 38
133 921 47
133 930 41
133 935 37
133 942 18
133 946 48
133 947 -2
133 950 33
133 970 35
133 984 36
133 995 18
134 32 6
134 69 11
134 103 12
134 113 21
134 137 43
134 154 -1
134 208 35
134 280 46
134 294 37
134 307 23
134 319 30
134 326 17
134 349 25
134 379 22
134 498 34
134 518 5
134 520 16
134 563 25
134 585 2
134 588 27
134 614 22
134 620 24
134 621 25
134 645 48
134 718 10
134 723 1
134 746 13
134 766 -2
134 767 47
134 816 48
134 832 37
134 872 10
134 885 31
134 902 34
134 939 29
134 944 8
134 984 34
135 56 29
135 69 14
135 83 30
135 118 5
135 154 50
135 191 8
135 208 32
135 230 21
135 238 50
135 251 36
135 289 2
135 291 18
135 293 28
135 295 3
135 303 23
135 340 1
135 350 28
135 395 37
135 404 27
135 423 48
135 552 34
135 592 18
135 603 33
135 615 47
135 627 19
135 628 24
135 638 36
135 649 1
135 651 46
135 661 6
135 705 9
135 752 37
135 763 37
135 767 26
135 771 38
135 780 47
135 790 18
135 800 35
135 857 31
135 858 37
135 907 33
135 912 27
135 922 48
135 923 35
135 937 43
135 962 24
135 983 17
135 987 40
135 993 23
135 1000 41
136 38 6
136 47 5
136 65 25
136 82 2
136 123 3
136 124 33
136 126 49
136 133 20
136 139 5
136 141 3
136 167 24
136 208 33
136 218 12
136 219 11
136 221 21
136 230 21
136 242 10
136 253 28
136 263 3
136 311 -2
136 314 22
136 324 28
136 331 -1
136 344 41
136 348 39
136 352 25
136 389 14
136 395 39
136 442 41
136 448 49
136 458 46
136 472 32
136 486 20
136 515 34
136 524 22
136 575 27
136 605 38
136 633 26
136 648 32
136 699 20
136 712 6
136 720 4
136 809 42
136 860 16
136 876 35
136 898 34
136 908 41
136 916 13
136 918 8
136 926 44
136 964 25
136 976 19
137 31 22
137 44 4
137 51 36
137 84 26
137 148 24
137 149 25
137 168 20
137 191 -1
137 193 5
137 204 8
137 239 42
137 279 10
137 280 37
137 291 48
137 312 41
137 328 41
137 348 21
137 370 49
137 421 37
137 459 48
137 475 41
137 490 28
137 494 37
137 511 8
137 523 5
137 554 10
137 564 45
137 566 1
137 649 20
137 714 35
137 718 13
137 752 12
137 759 41
137 768 46
137 827 41
137 929 15
137 943 29
137 950 10
137 986 19
138 55 15
138 59 5
138 90 45
138 107 37
138 149 0
138 162 43
138 187 12
138 202 13
138 206 38
138 207 39
138 211 24
138 212 38
138 213 50
138 233 40
138 234 21
138 242 24
138 284 18
138 390 4
138 399 40
138 452 21
138 455 24
138 516 -2
138 522 47
138 530 33
138 531 48
138 575 47
138 577 39
138 602 9
138 607 3
138 618 7
138 651 20
138 671 24
138 672 4
138 692 10
138 697 3
138 700 42
138 718 13
138 722 22
138 742 37
138 748 38
138 796 13
138 827 45
138 828 10
138 829 7
138 830 6
138 841 46
138 867 4
138 937 21
138 994 29
139 51 10
139 60 34
139 79 41
139 87 34
139 95 28
139 98 10
139 134 -2
139 138 19
139 196 30
139 207 42
139 232 39
139 245 50
139 252 39
139 254 5
139 264 48
139 277 5
139 280 16
139 361 11
139 379 14
139 380 29
139 411 6
139 445 -1
139 468 0
139 493 43
139 528 11
139 529 -1
139 539 0
139 542 3
139 552 29
139 591 22
139 620 26
139 642 7
139 648 23
139 660 26
139 690 -2
139 693 26
139 752 -2
139 760 12
139 785 13
139 828 5
139 845 17
139 846 -2
139 892 17
139 895 48
139 927 27
139 930 46
139 935 19
139 943 50
139 957 15
139 968 9
139 985 20
140 4 45
140 26 10
140 38 42
140 43 35
140 72 39
140 86 49
140 95 43
140 142 5
140 152 27
140 161 48
140 179 18
140 185 21
140 228 12
140 234 0
140 235 23
140 248 14
140 254 7
140 306 20
140 310 29
140 351 2
140 402 50
140 421 35
140 455 30
140 480 38
140 491 13
140 506 2
140 555 -2
140 561 22
140 598 38
140 604 10
140 636 43
140 656 7
140 675 29
140 684 37
140 748 11
140 766 2
140 788 17
140 798 37
140 828 4
140 835 34
140 849 9
140 859 26
140 876 50
140 894 31
140 927 47
140 933 25
140 961 17
141 16 15
141 26 31
141 35 6
141 47 6
141 88 27
141 101 30
141 150 16
141 156 40
141 175 12
141 178 16
141 199 42
141 230 43
141 239 -1
141 259 2
141 263 19
141 282 1
141 309 47
141 335 32
141 337 2
141 345 14
141 351 3
141 369 44
141 382 13
141 408 22
141 478 4
141 486 27
141 499 -1
141 510 22
141 513 50
141 518 46
141 521 32
141 544 42
141 563 32
141 571 5
141 590 13
141 608 12
141 612 49
141 616 12
141 629 20
141 633 21
141 644 24
141 655 -2
141 667 46
141 676 50
141 705 0
141 721 49
141 725 34
141 763 7
141 764 43
141 776 25
141 785 28
141 786 44
141 805 41
141 806 1
141 819 28
141 820 43
141 826 10
141 844 18
141 857 29
141 871 49
141 899 31
141 916 47
141 948 1
141 963 40
141 972 49
141 979 49
142 8 11
142 35 19
142 48 14
142 49 40
142 83 18
142 97 45
142 108 27
142 115 36
142 129 25
142 139 38
142 143 47
142 150 42
142 163 4
142 201 6
142 203 30
142 215 48
142 277 8
142 303 13
142 311 42
142 312 -2
142 332 38
142 383 48
142 385 12
142 417 11
142 433 39
142 434 43
142 437 42
142 442 14
142 449 9
142 466 37
142 482 18
142 485 15
142 488 20
142 556 27
142 570 14
142 572 39
142 596 31
142 607 30
142 614 10
142 653 47
142 663 13
142 685 31
142 686 23
142 695 7
142 710 15
142 721 31
142 730 17
142 732 49
142 746 0
142 755 48
142 811 35
142 822 41
142 831 16
142 865 43
142 868 20
142 900 18
142 925 42
142 933 1
142 934 13
142 941 46
142 945 24
142 970 12
142 974 30
142 998 26
143 17 42
143 36 5
143 57 41
143 118 33
143 159 38
143 170 43
143 175 16
143 177 50
143 186 5
143 195 17
143 208 44
143 211 27
143 223 21
143 226 26
143 255 18
143 259 6
143 287 28
143 288 15
143 333 0
143 352 46
143 381 20
143 400 20
143 443 24
143 448 41
143 457 13
143 467 27
143 470 32
143 479 44
143 516 4
143 535 22
143 551 24
143 555 45
143 587 48
143 600 31
143 643 17
143 645 4
143 696 22
143 703 11
143 719 20
143 760 43
143 765 29
143 804 35
143 806 50
143 890 49
143 894 6
143 901 38
143 910 15
143 922 12
143 924 34
143 931 -1
143 958 39
143 993 16
143 995 32
144 1 21
144 3 15
144 18 21
144 40 27
144 52 15
144 65 49
144 72 33
144 134 43
144 194 33
144 204 35
144 262 46
144 269 20
144 276 20
144 277 7
144 297 10
144 327 39
144 377 38
144 383 38
144 426 37
144 456 5
144 463 34
144 527 40
144 537 42
144 542 45
144 558 31
144 564 44
144 592 9
144 607 0
144 615 28
144 626 50
144 628 20
144 649 46
144 668 43
144 683 35
144 728 10
144 763 3
144 776 14
144 799 28
144 801 19
144 804 5
144 828 29
144 861 43
144 865 -1
144 970 42
144 985 48
144 986 27
144 996 3
145 5 24
145 18 19
145 24 7
145 66 26
145 67 1
145 70 26
145 74 17
145 75 9
145 87 14
145 112 17
145 116 46
145 178 34
145 213 47
145 217 45
145 225 37
145 252 47
145 261 12
145 263 23
145 266 4
145 331 9
145 345 23
145 356 20
145 408 38
145 424 15
145 436 38
145 478 -2
145 489 36
145 498 25
145 501 25
145 535 12
145 548 1
145 618 43
145 658 38
145 698 24
145 709 13
145 728 43
145 761 -1
145 773 28
145 795 13
145 814 47
145 823 33
145 830 31
145 832 9
145 839 50
145 842 13
145 846 14
145 873 1
145 878 36
145 879 24
145 881 39
145 918 31
145 931 25
145 933 23
145 950 19
145 962 49
145 996 5
146 8 42
146 12 -1
146 19 21
146 22 37
146 25 27
146 34 49
146 36 21
146 42 34
146 84 22
146 126 5
146 151 18
146 162 9
146 183 29
146 193 7
146 202 5
146 275 30
146 281 14
146 310 6
146 329 6
146 355 13
146 390 9
146 414 43
146 419 17
146 425 9
146 467 46
146 482 47
146 500 8
146 533 14
146 561 40
146 587 50
146 621 6
146 664 33
146 680 38
146 684 17
146 699 10
146 716 2
146 741 24
146 743 27
146 827 33
146 845 48
146 847 28
146 853 28
146 874 6
146 883 39
146 886 29
146 891 6
146 904 0
146 907 43
146 915 20
146 966 20
146 968 20
146 978 19
146 988 27
146 998 36
147 30 48
147 51 32
147 58 38
147 80 34
147 82 5
147 92 17
147 106 33
147 115 19
147 125 0
147 130 40
147 193 47
147 201 41
147 205 19
147 212 7
147 231 15
147 252 22
147 257 24
147 295 -1
147 305 34
147 320 10
147 329 18
147 353 6
147 397 9
147 401 36
147 416 27
147 423 46
147 424 35
147 460 1
147 466 18
147 468 10
147 479 18
147 496 1
147 522 1
147 582 35
147 603 13
147 635 39
147 638 20
147 644 25
147 647 50
147 664 9
147 676 1
147 715 13
147 721 49
147 727 10
147 750 40
147 756 48
147 769 17
147 778 36
147 786 33
147 831 18
147 847 4
147 849 1
147 870 37
147 881 35
147 898 43
147 899 5
147 907 19
147 943 32
147 949 26
147 972 47
148 6 14
148 133 26
148 151 27
148 208 46
148 231 12
148 233 4
148 302 34
148 310 47
148 378 23
148 392 43
148 408 8
148 409 33
148 426 -1
148 436 2
148 448 31
148 479 0
148 515 26
148 518 20
148 519 27
148 550 16
148 563 20
148 590 12
148 602 24
148 644 37
148 652 28
148 669 24
148 713 36
148 743 -1
148 815 6
148 834 8
148 855 31
148 907 43
148 931 5
148 974 12
149 42 13
149 44 11
149 45 29
149 59 36
149 85 5
149 173 29
149 174 48
149 217 21
149 234 3
149 272 27
149 295 35
149 319 24
149 331 38
149 338 27
149 348 2
149 379 -2
149 434 10
149 449 48
149 451 8
149 521 17
149 550 4
149 553 30
149 575 5
149 582 28
149 583 6
149 590 9
149 593 23
149 611 46
149 614 24
149 688 4
149 698 13
149 700 30
149 721 8
149 762 40
149 768 13
149 772 3
149 789 49
149 841 13
149 865 36
149 876 5
149 914 31
149 923 45
149 927 14
149 953 30
149 954 -1
150 6 31
150 26 4
150 29 31
150 35 14
150 36 30
150 37 6
150 76 45
150 79 29
150 97 21
150 98 19
150 103 8
150 125 48
150 145 4
150 153 16
150 195 23
150 237 9
150 272 19
150 277 31
150 286 15
150 292 2
150 308 23
150 310 14
150 312 46
150 321 2
150 355 3
150 360 -2
150 362 42
150 397 33
150 400 0
150 402 40
150 445 28
150 471 50
150 523 8
150 526 4
150 532 7
150 535 16
150 556 1
150 563 27
150 579 -1
150 586 27
150 627 44
150 655 47
150 672 25
150 687 11
150 693 21
150 715 34
150 752 6
150 755 37
150 756 21
150 764 42
150 772 48
150 774 39
150 860 17
150 868 29
150 880 9
150 913 -2
150 914 20
150 932 34
150 971 35
150 992 21
150 999 16
151 40 26
151 58 -2
151 78 27
151 93 10
151 139 6
151 197 41
151 202 20
151 235 45
151 248 31
151 250 27
151 259 44
151 286 34
151 369 24
151 415 17
151 424 7
151 448 23
151 462 -2
151 523 20
151 544 49
151 557 41
151 564 25
151 569 46
151 602 8
151 621 40
151 648 15
151 663 -1
151 668 8
151 670 17
151 672 32
151 728 34
151 792 43
151 805 -2
151 810 4
151 811 31
151 821 22
151 831 46
151 848 50
151 868 21
151 937 29
151 940 39
151 951 16
151 954 49
151 990 12
152 1 42
152 26 -2
152 33 3
152 69 23
152 78 11
152 112 10
152 115 16
152 116 37
152 128 38
152 131 49
152 135 47
152 171 9
152 239 26
152 244 40
152 277 5
152 304 42
152 348 2
152 391 13
152 439 18
152 450 7
152 480 15
152 510 14
152 537 47
152 549 15
152 556 24
152 647 37
152 661 44
152 662 5
152 667 23
152 705 22
152 724 46
152 732 49
152 735 37
152 768 2
152 772 -2
152 812 43
152 834 42
152 875 7
152 889 -1
152 896 6
152 897 -1
152 921 13
152 951 20
152 957 37
153 19 49
153 27 7
153 60 13
153 77 24
153 97 33
153 110 0
153 126 9
153 129 42
153 146 22
153 151 14
153 185 15
153 201 33
153 223 13
153 254 10
153 263 14
153 286 44
153 301 24
153 304 18
153 305 34
153 332 46
153 363 21
153 364 3
153 366 11
153 408 49
153 410 19
153 426 -2
153 439 34
153 448 3
153 452 15
153 455 13
153 466 17
153 470 37
153 500 3
153 511 7
153 525 33
153 548 19
153 574 33
153 586 2
153 596 22
153 606 4
153 607 38
153 624 13
153 695 44
153 697 15
153 732 33
153 746 30
153 751 41
153 753 32
153 765 35
153 782 16
153 819 32
153 842 25
153 855 18
153 857 41
153 869 20
153 889 25
153 894 14
153 910 32
153 928 34
153 935 24
153 949 22
153 984 6
153 996 2
154 16 17
154 41 21
154 44 6
154 51 7
154 61 29
154 65 25
154 111 35
154 134 45
154 153 5
154 185 25
154 215 42
154 230 42
154 231 7
154 244 22
154 247 -1
154 249 16
154 257 35
154 307 0
154 341 8
154 357 32
154 361 10
154 375 16
154 382 17
154 389 33
154 401 48
154 403 0
154 412 29
154 418 12
154 453 30
154 576 24
154 584 10
154 624 33
154 635 43
154 660 37
154 673 29
154 680 5
154 684 5
154 687 21
154 695 29
154 710 38
154 715 19
154 717 24
154 765 7
154 788 22
154 790 22
154 793 14
154 831 46
154 857 12
154 877 40
154 878 45
154 900 12
154 917 33
154 935 33
154 954 22
154 966 7
154 993 26
155 11 10
155 31 7
155 33 16
155 74 41
155 89 44
155 96 45
155 108 4
155 111 18
155 136 24
155 138 48
155 217 13
155 229 2
155 236 7
155 265 47
155 294 45
155 305 10
155 306 34
155 326 33
155 350 48
155 362 8
155 381 28
155 399 15
155 427 8
155 432 47
155 454 10
155 479 46
155 510 34
155 530 13
155 549 22
155 550 24
155 597 19
155 623 32
155 628 4
155 647 22
155 658 45
155 659 19
155 681 1
155 706 2
155 715 14
155 716 31
155 722 1
155 724 45
155 739 13
155 761 9
155 763 1
155 776 17
155 783 -2
155 835 40
155 846 33
155 867 5
155 876 12
155 892 48
155 906 -1
155 911 35
155 914 25
155 918 47
155 919 22
155 924 43
155 927 38
155 968 -2
155 983 23
156 27 13
156 76 31
156 98 36
156 103 14
156 144 20
156 167 41
156 179 1
156 195 48
156 237 26
156 242 9
156 248 13
156 262 20
156 284 45
156 286 37
156 287 33
156 290 21
156 303 17
156 314 40
156 321 44
156 378 32
156 379 20
156 409 34
156 416 26
156 452 27
156 474 28
156 523 15
156 525 4
156 560 8
156 595 9
156 597 18
156 621 24
156 645 23
156 689 30
156 701 42
156 707 44
156 723 17
156 724 24
156 729 22
156 768 25
156 777 24
156 781 21
156 784 29
156 791 41
156 797 42
156 806 47
156 814 23
156 829 0
156 830 20
156 835 16
156 855 40
156 856 18
156 883 5
156 884 44
156 894 33
156 897 44
156 903 10
156 926 43
156 927 42
156 931 11
156 932 21
156 935 33
156 996 4
157 18 22
157 19 25
157 27 31
157 58 48
157 75 42
157 93 48
157 126 45
157 168 6
157 178 32
157 214 48
157 244 11
157 264 31
157 281 9
157 291 29
157 341 29
157 347 16
157 351 13
157 359 48
157 382 21
157 384 23
157 416 2
157 441 36
157 443 24
157 488 24
157 503 48
157 509 40
157 511 30
157 513 17
157 517 11
157 529 9
157 538 31
157 564 26
157 592 45
157 625 36
157 642 21
157 672 1
157 676 12
157 683 34
157 732 11
157 734 4
157 742 9
157 816 38
157 820 17
157 849 41
157 892 27
157 896 42
157 926 25
157 949 42
157 976 9
157 998 14
158 19 -1
158 80 26
158 96 29
158 113 11
158 122 34
158 164 45
158 169 47
158 205 41
158 206 40
158 210 19
158 212 28
158 221 23
158 260 33
158 328 42
158 349 47
158 377 25
158 431 16
158 439 35
158 445 19
158 474 46
158 503 -1
158 529 25
158 545 22
158 559 12
158 560 0
158 596 33
158 606 50
158 614 39
158 619 48
158 620 33
158 637 16
158 646 22
158 653 21
158 685 5
158 689 25
158 757 3
158 774 8
158 787 37
158 797 1
158 809 23
158 826 44
158 845 8
158 849 27
158 867 21
158 868 48
158 893 46
158 915 -2
158 919 13
158 931 18
158 980 31
159 52 28
159 76 38
159 104 46
159 138 42
159 143 35
159 144 20
159 145 18
159 187 10
159 198 48
159 214 12
159 259 10
159 264 31
159 279 49
159 295 49
159 319 28
159 328 11
159 354 46
159 364 44
159 373 50
159 380 49
159 382 35
159 386 4
159 400 4
159 402 9
159 414 16
159 423 4
159 482 0
159 496 48
159 517 28
159 535 30
159 571 24
159 609 37
159 644 49
159 693 34
159 703 28
159 732 44
159 736 31
159 780 14
159 800 48
159 801 31
159 838 5
159 855 46
159 861 14
159 887 17
159 915 45
159 927 8
160 15 28
160 21 2
160 52 4
160 53 36
160 60 21
160 87 39
160 121 38
160 141 47
160 153 34
160 156 38
160 165 47
160 191 20
160 215 23
160 251 7
160 308 38
160 310 21
160 314 22
160 320 6
160 360 39
160 373 23
160 386 7
160 409 35
160 425 39
160 440 22
160 497 24
160 518 16
160 527 16
160 542 2
160 573 33
160 592 27
160 680 49
160 707 8
160 709 42
160 733 14
160 734 41
160 752 -2
160 773 0
160 783 42
160 784 22
160 793 12
160 797 33
160 814 2
160 829 31
160 844 33
160 853 9
160 864 35
160 881 -1
160 891 44
160 905 13
160 921 42
160 965 32
160 973 15
161 28 12
161 69 49
161 73 33
161 92 6
161 103 40
161 118 9
161 121 31
161 145 21
161 198 12
161 206 -1
161 216 47
161 261 46
161 265 18
161 280 25
161 301 44
161 319 25
161 329 23
161 336 40
161 358 17
161 415 7
161 438 42
161 449 4
161 462 46
161 474 0
161 496 12
161 498 12
161 517 14
161 537 34
161 612 16
161 630 37
161 647 27
161 649 45
161 661 24
161 671 49
161 686 14
161 698 26
161 749 11
161 750 -2
161 759 12
161 781 42
161 785 33
161 797 48
161 816 18
161 823 13
161 827 1
161 835 9
161 842 -2
161 860 42
161 902 22
161 904 50
161 914 9
161 969 41
161 976 33
161 997 19
162 20 35
162 56 23
162 79 22
162 89 20
162 98 0
162 139 33
162 150 7
162 168 27
162 201 44
162 208 15
162 228 40
162 234 31
162 257 1
162 315 22
162 319 44
162 348 34
162 374 26
162 381 -2
162 396 23
162 417 24
162 468 35
162 506 37
162 551 34
162 608 3
162 649 0
162 652 25
162 698 37
162 707 39
162 710 25
162 720 36
162 729 27
162 747 26
162 758 18
162 798 39
162 806 11
162 815 1
162 844 12
162 849 18
162 867 19
162 873 31
162 937 50
162 945 45
162 954 11
162 964 2
162 994 13
163 15 10
163 30 30
163 40 31
163 44 32
163 51 1
163 57 12
163 87 45
163 136 27
163 150 10
163 178 37
163 194 35
163 281 37
163 282 27
163 286 5
163 309 25
163 322 41
163 343 -1
163 392 39
163 407 22
163 429 41
163 443 18
163 463 37
163 467 25
163 474 28
163 498 9
163 531 29
163 540 16
163 564 36
163 570 30
163 571 25
163 608 17
163 688 48
163 699 12
163 703 15
163 721 47
163 738 42
163 748 26
163 773 20
163 805 46
163 832 -1
163 844 7
163 848 34
163 859 -2
163 911 20
163 937 36
163 945 17
163 955 10
163 996 21
164 6 33
164 13 18
164 95 37
164 110 30
164 120 0
164 134 36
164 172 40
164 186 2
164 193 1
164 222 20
164 230 14
164 316 7
164 331 17
164 368 6
164 369 -1
164 370 33
164 409 44
164 411 13
164 439 41
164 447 27
164 475 23
164 485 25
164 503 0
164 513 46
164 525 9
164 533 50
164 549 42
164 578 32
164 585 38
164 686 11
164 687 1
164 730 26
164 757 20
164 793 14
164 794 31
164 809 27
164 830 32
164 884 48
164 885 7
164 924 22
164 927 7
164 939 36
164 946 49
164 979 19
164 991 7
164 994 21
165 25 50
165 40 16
165 55 40
165 72 -1
165 80 29
165 81 31
165 97 31
165 99 44
165 129 21
165 131 20
165 164 12
165 190 22
165 216 22
165 283 36
165 285 34
165 300 42
165 301 26
165 309 48
165 329 17
165 343 3
165 416 14
165 427 16
165 442 15
165 477 35
165 496 -1
165 518 6
165 537 3
165 544 44
165 546 22
165 552 42
165 589 4
165 590 14
165 597 46
165 613 43
165 623 40
165 658 2
165 668 48
165 715 25
165 735 17
165 752 10
165 753 33
165 778 30
165 781 10
165 806 41
165 850 30
165 877 12
165 893 8
165 914 50
165 928 10
165 944 50
165 946 13
165 958 19
165 974 28
166 21 7
166 25 0
166 30 21
166 105 16
166 108 21
166 122 45
166 147 17
166 209 8
166 215 44
166 256 11
166 336 21
166 343 36
166 368 42
166 399 42
166 453 3
166 487 39
166 496 19
166 529 13
166 530 36
166 553 1
166 571 3
166 580 -2
166 611 18
166 617 29
166 667 24
166 668 32
166 691 33
166 717 44
166 722 23
166 723 46
166 736 33
166 755 6
166 783 34
166 808 30
166 827 0
166 828 1
166 842 -2
166 850 33
166 854 27
166 856 44
166 865 31
166 880 20
166 883 25
166 928 47
166 957 20
167 57 16
167 107 12
167 115 25
167 126 1
167 158 2
167 165 48
167 195 39
167 200 44
167 230 -2
167 235 16
167 253 8
167 284 5
167 288 14
167 317 40
167 339 31
167 373 14
167 376 31
167 388 21
167 400 35
167 411 36
167 421 30
167 433 22
167 453 2
167 477 31
167 502 43
167 523 2
167 529 7
167 533 36
167 540 46
167 564 45
167 569 21
167 578 18
167 582 13
167 587 36
167 626 46
167 646 5
167 670 9
167 686 9
167 760 19
167 772 42
167 782 16
167 801 45
167 852 4
167 854 31
167 876 25
167 894 43
167 932 9
167 963 30
167 974 6
167 981 30
168 13 44
168 16 0
168 25 32
168 26 6
168 37 49
168 59 42
168 73 45
168 81 3
168 95 19
168 165 37
168 171 20
168 221 49
168 223 26
168 232 38
168 306 43
168 337 19
168 355 30
168 366 16
168 395 -1
168 402 39
168 414 38
168 435 5
168 463 46
168 493 26
168 501 33
